Release Year,Title,Genre,MPAA,IMDB Rating,Budget,Gross,Runtime,Status
2014,Rage,"Action, Crime, Thriller",NOT RATED,5.0/10,21000000,0,92,Unwatched
1982,Fast Times at Ridgemont High,"Comedy, Drama",R,7.2/10,4500000,0,90,Unwatched
1983,Rumble Fish,Drama,R,7.2/10,10000000,2500000,94,Unwatched
1984,Birdy,"Drama, War",R,7.3/10,0,0,120,Unwatched
2004,National Treasure,"Action, Adventure, Mystery",PG,6.9/10,100000000,173005002,131,Unwatched
1990,Wild at Heart,"Comedy, Crime, Thriller",NC-17,7.3/10,9500000,14560247,125,Unwatched
1997,Con Air,"Action, Crime, Thriller",R,6.8/10,75000000,101087161,115,Unwatched
1984,Racing with the Moon,"Comedy, Drama, Romance",PG,6.8/10,0,5400000,108,Unwatched
1986,Peggy Sue Got Married,"Comedy, Drama, Fantasy",PG-13,6.3/10,18000000,41382841,103,Unwatched
2006,World Trade Center,"Drama, History, Thriller",PG-13,6.0/10,63000000,271684,129,Unwatched
1988,Vampire's Kiss,"Comedy, Horror",R,5.8/10,0,725131,103,Unwatched
1989,Time to Kill,"Drama, War",R,5.2/10,0,0,110,Unwatched
1981,Best of Times,,Unrated,5.9/10,0,0,95,Unwatched
2005,The Weather Man,"Comedy, Drama",R,6.7/10,22000000,860440,102,Unwatched
2007,Ghost Rider,"Action, Fantasy, Horror",PG-13,5.2/10,110000000,115802596,114,Unwatched
1993,Deadfall,"Crime, Drama",R,3.7/10,10000000,0,98,Unwatched
1990,Fire Birds,"Action, Adventure",PG-13,4.6/10,0,14760451,85,Unwatched
2006,The Ant Bully,"Animation, Adventure, Comedy",PG,5.9/10,50000000,28133159,88,Unwatched
1990,Industrial Symphony No. 1: The Dream of the Brokenhearted,"Drama, Music",Unrated,7.1/10,0,0,50,Unwatched
2013,The Croods,"Animation, Adventure, Comedy",PG,7.3/10,135000000,187165546,98,Unwatched
2001,Christmas Carol: The Movie,"Animation, Family",PG,5.6/10,12000000,1372998,77,Unwatched
1983,Valley Girl,"Comedy, Romance",R,6.3/10,350000,0,99,Unwatched
1998,Snake Eyes,"Action, Crime, Drama",R,5.9/10,69000000,55585389,98,Unwatched
1991,Zandalee,"Drama, Romance, Thriller",R,4.3/10,0,0,100,Unwatched
2011,Trespass,"Crime, Drama, Thriller",R,5.3/10,35000000,16816,91,Unwatched
1984,The Cotton Club,"Crime, Drama, Music",R,6.5/10,58000000,25900000,127,Unwatched
1994,Guarding Tess,"Comedy, Drama",PG-13,6.1/10,20000000,27053498,96,Unwatched
1989,Never on Tuesday,Comedy,R,4.5/10,0,0,90,Unwatched
2009,G-Force,"Action, Adventure, Comedy",PG,5.1/10,150000000,119420252,88,Unwatched
2001,Captain Corelli's Mandolin,"Drama, Music, Romance",R,5.9/10,57000000,25528495,131,Unwatched
